Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au Client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie,Justification,Commentaires,Date de prise en compte,Date de finalisation,Delais traitement,Statut,Impact financier,Catégorisée par
SABLONS,MO0157,SES8,RL,Electricité,22,5, ,0,ZN,Mi-saison,70,2023-05-28,2023-06-01,80,10,5,4,200,Récurrent,0.14285714285714285,Nuit,Impact GY,Multi-usage,Problème GTC,GTC Inaccessible,,,,,18.7112,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,22,6, ,0,ZN,Mi-saison,45,2023-06-01,2023-06-04,65,20,7,3,420,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,39.29352,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,22,6, ,0,ZN,Mi-saison,125,2023-06-01,2023-06-04,145,20,7,3,420,Récurrent,0.16,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,39.29352,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,22,6, ,0,ZN,Mi-saison,125,2023-06-04,2023-06-04,145,20,8,1,160,Récurrent,0.16,Dim,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,14.96896,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,22,6, ,0,ZN,Mi-saison,45,2023-06-04,2023-06-04,80,35,16,1,560,Récurrent,0.7777777777777778,Dim,Impact Client,Changement de comportement ,Ouverture dimanche, ,,,,,52.39136,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,23,6, ,0,ZN,Mi-saison,45,2023-06-04,2023-06-11,65,20,7,7,980,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,91.68488,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,23,6, ,0,ZN,Mi-saison,125,2023-06-04,2023-06-11,200,75,7,7,3675,Récurrent,0.6,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC,,,,,,343.8183,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,23,6, ,0,ZN,Mi-saison,45,2023-06-11,2023-06-11,85,40,13,1,520,Récurrent,0.8888888888888888,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,48.64912,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,23,6, ,0,ZN,Mi-saison,125,2023-06-11,2023-06-11,220,95,8,1,760,Récurrent,0.76,Dim,Impact Client,CVC,CVC en marche forcée sur GTC,,,,,,71.10256,Rawa
SABLONS,MO0157,SES8,RL,Electricité,23,6, ,0,AE,Mi-saison,70,2023-06-04,2023-06-05,80,10,6,1,60,Récurrent,0.14285714285714285,Nuit,A définir,Investigation en cours,Investigation en cours, ,,,,,5.61336,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,24,6, ,0,ZN,Mi-saison,45,2023-06-11,2023-06-16,65,20,7,5,700,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,65.4892,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,24,6, ,0,ZN,Mi-saison,45,2023-06-16,2023-06-18,80,35,7,2,490,Récurrent,0.7777777777777778,Nuit,Impact Client,Eclairage,Problème alarme, ,,,,,45.84244,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,24,6, ,0,ZN,Mi-saison,125,2023-06-11,2023-06-12,210,85,7,1,595,Récurrent,0.68,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,55.665820000000004,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,24,6, ,0,ZN,Mi-saison,125,2023-06-12,2023-06-13,310,185,7,1,1295,Récurrent,1.48,Nuit,Exploitation, ,Inventaire, ,,,,,121.15502,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,24,6, ,0,ZN,Mi-saison,45,2023-06-18,2023-06-18,85,40,16,1,640,Récurrent,0.8888888888888888,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,59.87584,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,25,6, ,0,ZN,Mi-saison,45,2023-06-18,2023-06-25,80,35,7,7,1715,Récurrent,0.7777777777777778,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,160.44854,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,25,6, ,0,ZN,Mi-saison,45,2023-06-25,2023-06-25,90,45,16,1,720,Récurrent,1.0,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,67.36032,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,25,6, ,0,ZN,Mi-saison,125,2023-06-25,2023-06-25,315,190,8,1,1520,Récurrent,1.52,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,142.20512,Rawa
