Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
LYON GBL,MO2878,SES8,RL,Electricité,7,2, ,0,HH,Hiver,120,2023-02-18,2023-02-19,175,55.0,7.0,1,385.0,Récurrent,0.4583333333333333,Nuit,A définir,
AUXERRE,MO0225,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,65,2023-02-09,2023-02-11,85,20.0,2.0,2,80.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
Cannes,MO0143,Monoprix,RL,Electricité,7,2, ,0,ZN,Hiver,65,2023-02-16,2023-02-17,85,20.0,2.0,1,40.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
Cannes,MO0143,Monoprix,RL,Electricité,8,2, ,0,ZN,Hiver,65,2023-02-20,2023-02-25,85,20.0,1.0,5,100.0,Récurrent,0.3076923076923077,Nuit,Impact Client,CVC
LILLE LES TANNEURS,MO0060,SES8,RL,Electricité,10,3, ,0,HH,Mi-saison,50,2023-03-08,2023-03-09,85,35.0,7.0,1,245.0,Récurrent,0.7,Nuit,Impact Client,CVC
ITALIE,MO1319,SES8,RL,Electricité,1,1, ,0,SB,Hiver,115,2023-01-01,2023-01-02,150,35.0,8.0,1,280.0,Récurrent,0.30434782608695654,Nuit,Impact Client,CVC
ITALIE,MO1319,SES8,RL,Electricité,1,1, ,0,SB,Hiver,115,2023-01-03,2023-01-04,150,35.0,8.0,1,280.0,Récurrent,0.30434782608695654,Nuit,Impact Client,CVC
GRASSE,MO0055,SES8,RL,Electricité,0,1, ,0,SB,Hiver,50,2023-01-01,2023-01-01,65,15.0,8.0,1,120.0,Récurrent,0.3,Dim,Impact Client,Changement de comportement
Secrétan,MO0394,Monoprix,RL,Electricité,0,1, ,0,SB,Hiver,50,2023-01-01,2023-01-01,65,15.0,8.0,1,120.0,Récurrent,0.3,Dim,Impact Client,Changement de comportement
GRASSE,MO0055,SES8,RL,Electricité,1,1, ,0,SB,Hiver,50,2023-01-01,2023-01-08,65,15.0,8.0,7,840.0,Récurrent,0.3,Nuit,Impact Client,CVC
Chelles,MO0078,Monoprix,RL,Electricité,1,1, ,0,SB,Hiver,50,2023-01-08,2023-01-08,65,15.0,8.0,1,120.0,Récurrent,0.3,Dim,Impact Client,Changement de comportement
TOLBIAC,MO0049,SES8,RL,Electricité,3,1, ,0,SB,Hiver,50,2023-01-15,2023-01-16,65,15.0,4.0,1,60.0,Récurrent,0.3,Nuit,Impact Client,Changement de comportement
TOLBIAC,MO0049,SES8,RL,Electricité,3,1, ,0,SB,Hiver,50,2023-01-17,2023-01-21,65,15.0,9.0,4,540.0,Récurrent,0.3,Nuit,Impact Client,CVC
TOLBIAC,MO0049,SES8,RL,Electricité,3,1, ,0,SB,Hiver,50,2023-01-21,2023-01-22,65,15.0,7.0,1,105.0,Récurrent,0.3,Nuit,Impact Client,CVC
Nice Garibaldi,MO2764,Monoprix,RL,Electricité,4,1, ,0,SB,Hiver,50,2023-01-22,2023-01-29,65,15.0,8.0,7,840.0,Récurrent,0.3,Nuit,Impact Client,CVC
Nice Garibaldi,MO2764,Monoprix,RL,Electricité,5,1, ,0,SB,Hiver,50,2023-01-29,2023-02-01,65,15.0,8.0,3,360.0,Récurrent,0.3,Nuit,Impact Client,CVC
SETE,MO2759,SES8,AL,Electricité,4,1, ,0,SB,Hiver,50,2023-01-27,2023-01-28,65,15.0,3.0,1,45.0,Récurrent,0.3,Nuit,Impact Client,Eclairage
Nice Garibaldi,MO2764,Monoprix,RL,Electricité,5,2, ,0,SB,Hiver,50,2023-02-01,2023-02-04,65,15.0,9.0,3,405.0,Récurrent,0.3,Nuit,Impact Client,CVC
Nice Garibaldi,MO2764,Monoprix,RL,Electricité,5,2, ,0,SB,Hiver,50,2023-02-04,2023-02-05,65,15.0,10.0,1,150.0,Récurrent,0.3,Nuit,Impact Client,CVC
Terrasse du Port,MO2343,Monoprix,RL,Electricité,5,2, ,0,SB,Hiver,50,2023-02-01,2023-02-02,65,15.0,11.0,1,165.0,Récurrent,0.3,Nuit,Impact Client,Eclairage
