Date,Time,salesforceName,siteName,energySource,Real Consumption (kWh),TalonRef,Heure Ouverture,Heure Fermeture,Ouverture dim,Margin
2023-06-20,19:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,383,125,5,21,Matin,35
2023-06-20,20:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,324,125,5,21,Matin,35
2023-06-20,21:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,265,125,5,21,Matin,35
2023-06-20,22:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,230,125,5,21,Matin,35
2023-06-20,23:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,217,125,5,21,Matin,35
2023-06-21,00:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,203,125,5,21,Matin,35
2023-06-21,01:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,216,125,5,21,Matin,35
2023-06-21,02:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,217,125,5,21,Matin,35
2023-06-21,03:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,213,125,5,21,Matin,35
2023-06-21,04:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,226,125,5,21,Matin,35
2023-06-21,05:00:00,MO0193,PORTE DE CHATILLON (Malakoff),ELECTRICITY,305,125,5,21,Matin,35
